X Coordinate,Y Coordinate
0.948148,0.929948
0.466667,0.307292
0.501852,0.291667
0.469444,0.304948
0.493519,0.309635
0.506481,0.277344
0.493519,0.286719
0.504167,0.292448
0.484259,0.286458
0.511574,0.261198
0.948611,0.929167
0.525,0.298438
0.503241,0.292188
0.503241,0.29349
0.5125,0.272656
0.496759,0.261979
0.476389,0.29974
0.497222,0.292969
0.495833,0.253906
0.516204,0.272656
0.511574,0.283333
0.503241,0.311458
0.472685,0.246354
0.506944,0.2625
0.510648,0.292448
0.486574,0.294271
0.493056,0.291667
0.492593,0.2875
0.506481,0.253125
0.488426,0.257031
0.510185,0.26224
0.518056,0.272917
0.481019,0.280729
0.501852,0.305469
0.495833,0.309896
0.496759,0.289844
0.49213,0.279687
0.52963,0.283594
0.515741,0.320573
0.462963,0.28776
0.5,0.29375
0.481944,0.280469
0.510185,0.26901
0.491667,0.292188
0.500926,0.289062
0.49213,0.2875
0.501389,0.295052
0.500926,0.289323
0.475463,0.308594
0.510185,0.317187
0.507407,0.311979
0.525,0.29401
0.514815,0.320573
0.481019,0.285937
0.509722,0.313802
0.505556,0.295052
0.497222,0.290625
0.500926,0.264323
0.509259,0.264844
0.497222,0.30651
0.512037,0.263281
0.523611,0.282552
0.480556,0.283594
0.499074,0.257552
0.506481,0.257552
0.494444,0.309115
0.498148,0.290885
0.515741,0.320312
0.470833,0.288281
0.483333,0.2875
0.514352,0.31875
0.507407,0.282031
0.515278,0.286458
0.502778,0.261198
0.516667,0.294531
0.514815,0.272656
0.487963,0.29375
0.493519,0.291667
0.509722,0.276042
0.511574,0.261198
0.467593,0.289844
0.479167,0.291146
0.506944,0.292969
0.50787,0.267448
0.0861111,0.492448
0.502315,0.257552
0.508796,0.296875
0.507407,0.309635
0.499074,0.307292
0.950926,0.922917
0.49537,0.290885
0.506481,0.292708
0.510185,0.278906
0.493056,0.291927
0.501389,0.291146
0.510185,0.260938
0.503704,0.257552
0.49537,0.26875
0.505093,0.259375
0.490278,0.289062
0.472685,0.307292
0.500463,0.25599
0.505093,0.294531
0.49537,0.309115
0.513889,0.29349
0.520833,0.285937
0.505556,0.274479
0.491204,0.28776
0.49537,0.285677
0.482407,0.286979
0.51713,0.296094
0.491667,0.251042
0.491204,0.259375
0.480093,0.307552
0.462037,0.282552
0.495833,0.294271
0.952778,0.943229
0.470833,0.286719
0.507407,0.260417
0.510185,0.254167
0.515741,0.278125
0.498611,0.309896
0.478704,0.303385
0.503241,0.311719
0.946296,0.929167
0.496296,0.298698
0.49537,0.290104
0.487963,0.289583
0.503704,0.283333
0.5,0.291927
0.482407,0.30599
0.487037,0.288802
0.52037,0.282292
0.519444,0.268229
0.481944,0.294531
0.493519,0.283854
0.509259,0.270052
0.506944,0.256771
0.951852,0.941406
0.494444,0.292969
0.5125,0.276823
0.477778,0.305208
0.505556,0.313281
0.517593,0.26901
0.490741,0.289323
0.505556,0.31276
0.483796,0.304167
0.51713,0.257292
0.476852,0.28776
0.485648,0.28776
0.497685,0.291667
0.499537,0.285677
0.523611,0.298438
0.52037,0.288281
0.512037,0.295573
0.503241,0.304427
0.511574,0.286719
0.500463,0.260156
0.484722,0.246354
0.499074,0.253906
0.950463,0.922396
0.48287,0.289323
0.512963,0.276563
0.483333,0.284115
0.952315,0.943229
0.484722,0.248958
0.5,0.264583
0.512963,0.269792
0.5125,0.317448
0.522222,0.271354
0.499537,0.289583
0.509722,0.261198
0.494444,0.288281
0.509259,0.288021
0.514352,0.317969
0.490741,0.258854
0.515278,0.263802
0.502315,0.290885
0.508333,0.294531
0.5125,0.316146
0.506481,0.28151
0.490278,0.29401
0.49213,0.247917
0.0828704,0.308333
0.463426,0.283073
0.493981,0.258073
0.511111,0.271354
0.518519,0.284115
0.506944,0.26224
0.521296,0.295573
0.521296,0.297135
0.511111,0.294271
0.50463,0.25625
0.500926,0.254427
0.490278,0.284635
0.511574,0.317448
0.49537,0.278906
0.512963,0.270312
0.514352,0.25599
0.507407,0.26276
0.498611,0.263542
0.496296,0.291146
0.489815,0.29401
0.5125,0.314844
0.521759,0.271354
0.506019,0.26276
0.49213,0.292188
0.476389,0.246094
0.514352,0.258073
0.516667,0.29375
0.525926,0.281771
0.518519,0.270052
0.50787,0.266146
0.506944,0.296875
0.501389,0.310156
0.509259,0.264583
0.494444,0.29974
0.494907,0.261719
0.268981,0.717969
0.488426,0.292969
0.507407,0.258854
0.508796,0.310677
0.501389,0.297135
0.509722,0.283333
0.489352,0.288802
0.518981,0.296875
0.512037,0.293229
0.478704,0.294792
0.505093,0.305729
0.511574,0.263281
0.467593,0.284115
0.425,0.714323
0.509722,0.275
0.5,0.257292
0.49537,0.310156
0.512963,0.276302
0.497222,0.25599
0.474537,0.286719
0.5,0.292448
0.479167,0.285937
0.480093,0.2875
0.51713,0.261719
0.495833,0.283073
0.525,0.295573
0.486574,0.296875
0.485185,0.2875
0.528241,0.281771
0.475,0.285417
0.472222,0.30625
0.511574,0.26224
0.949537,0.938542
0.951852,0.942708
0.5,0.309375
0.50787,0.300521
0.0680556,0.257292
0.496296,0.288542
0.492593,0.288281
0.951389,0.940365
0.510648,0.263021
0.508333,0.295052
0.266204,0.748698
0.49537,0.286458
0.50463,0.311719
0.481019,0.286198
0.512037,0.31224
0.486111,0.28724
0.505093,0.291667
0.491667,0.252865
0.50787,0.277865
0.52037,0.295573
0.518056,0.278385
0.505093,0.259635
0.075463,0.263281
0.512037,0.279687
0.512037,0.316927
0.500926,0.288802
0.506944,0.292448
0.490278,0.29349
0.506944,0.257812
0.521296,0.269792
0.50787,0.29375
0.491204,0.291667
0.511111,0.259375
0.522222,0.283854
0.514815,0.29401
0.502778,0.260417
0.505556,0.297135
0.490741,0.256771
0.5,0.261198
0.500463,0.289844
0.475463,0.288281
0.514815,0.288542
0.0597222,0.252083
0.494444,0.290625
0.514815,0.319531
0.505093,0.268229
0.500926,0.261198
0.484259,0.284896
